Material outward,,,,
#,Date,Project Order No,RRA Invoice No,Customer Name
825,2024-08-23,sdsdswedwddc,dc dc,RASHMI HEATERS PVT.LTD.
,Item Code,Quantity,Amount
737,2024-06-19,AEPL/24-25/0771,,Autoshell Electromech Pvt.Ltd.
,Item Code,Quantity,Amount
,SS 304 SIZE : 95 X 95 X 0.8 MM THK,28,
,SS 304 SIZE : 95 X 65 X 0.8 MM THK,14,
,Project Total,42,0
736,2024-06-19,POFS000061781- PROJECT H231509,,HRS PROCESS SYSTEMS LTD.
,Item Code,Quantity,Amount
,SS 316 SIZE : 110 X 200 X 2 MM THK,2,
,Project Total,2,0
735,2024-06-19,AP/JPO/CA/00438/24-25,,Ador Powertron Ltd
,Item Code,Quantity,Amount
,SS 304 SIZE : 200 X 160 X 1 MM THK,6,
,SS 304 SIZE : 235 X 200 X 1 MM THK,6,
,ALU.SIZE : 180 X 150 X 1 MM THK,8,
,ALU.SIZE : 180 X 150 X 1 MM THK,8,
,Project Total,28,0
734,2024-06-18,INHOUSE MATERIAL,,RAVIRAJ ANODISERS
,Item Code,Quantity,Amount
,Project Total,0,0
733,2024-06-17,SCPL/PO/24-25/0270,,SDTORK CONTROLS PVT LTD
,Item Code,Quantity,Amount
,SS 304 SIZE : 125 X 60 X 0.8 MM THK,35,
,SS 304 SIZE : 90 X 50 X 0.8 MM THK,35,
,SS 304 SIZE : 125 X 60 X 0.8 MM THK,111,
,SS 304 SIZE : 90 X 50 X 0.8 MM THK,111,
,Project Total,292,0
732,2024-06-17,50055005484,,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,24-130-1319344,130,
,24-130-1319597,1200,
,27-039-1223950,50,
,24-130-1388202,2,
,24-130-1006192,1000,
,Project Total,2382,0
731,2024-06-15,EMAIL-14.06.2024,,Sonali Enterprises
,Item Code,Quantity,Amount
,ALU.SIZE : 149 X 60 X 1 MM THK,5,
,ALU.SIZE : 260 X 200 X 1 MM THK,25,
,Project Total,30,0
730,2024-06-15,1710086950,,DelVal Flow Controls Pvt Ltd.
,Item Code,Quantity,Amount
,6502N10066000002,78,
,4402N10065000HP1,300,
,5003NC0066000YB1,50,
,6401N10088000002,50,
,6502N10066000002,50,
,Z4440N1660009380,10,
,Z6506NC660007239,100,
,6504N10066000002,11,
,7A06N10066000002,10,
,7A06N30066000002,10,
,255000M366000001,50,
,4A12N30066000001,50,
,4A36N30066000001,50,
,5614N20066000001,50,
,6401N20066000002,50,
,6402N20066000002,50,
,6403N20066000002,50,
,6502N80066000001,50,
,4402N10065000HP1,10,
,4C12NM0065000001,100,
,64Q2N10065000002,50,
,6502N10066000002,185,
,6504N10066000002,100,
,255000M366000001,50,
,5842N10066000001,50,
,8A14N10065000002,50,
,Project Total,1664,0
729,2024-06-15,15.06.2024,,RAVIRAJ ANODISERS
,Item Code,Quantity,Amount
,ALU.BLACK SHEET,1,
,Project Total,1,0
728,2024-06-15,POS2425/0291 - AB447,,M E Energy Private Limited
,Item Code,Quantity,Amount
,SS 304 SIZE : 225 X 150 X 1.5 MM THK,1,
,Project Total,1,0
727,2024-06-15,02441391-1,,EagleBurgmann India Pvt. Ltd.
,Item Code,Quantity,Amount
,SS 316 SIZE : 150 X 150 X 1.2 MM THK,36,
,Project Total,36,0
726,2024-06-15,015100731012501B,,GAS PROCESSING EQUIPMENT PVT LTD
,Item Code,Quantity,Amount
,SS 316 SIZE : 150 X 115 X 2 MM THK,2,
,SS 316 SIZE : 210 X 125 X 2 MM THK,2,
,Project Total,4,0
725,2024-06-15,307 & 311 PRO.370 & 373,,M E Energy Private Limited
,Item Code,Quantity,Amount
,SS 304 SIZE : 200 X 200 X 2 MM THK,12,
,Project Total,12,0
724,2024-06-14,4500757594-1,,Kelvion India Private Limited
,Item Code,Quantity,Amount
,SS 304 SIZE : 175 X 115 X 0.8 MM THK,17,
,Project Total,17,0
723,2024-06-14,41054000775-3,,Forbes Marshall  Arca Pvt Ltd
,Item Code,Quantity,Amount
,20-059-1037446,400,
,Project Total,400,0
722,2024-06-12,1710085817-1,,DelVal Flow Controls Pvt Ltd.
,Item Code,Quantity,Amount
,65Q6N20066000001,200,
,Z6502NC660007238,100,
,7C06N30066000002,200,
,Project Total,500,0
721,2024-06-12,13244,,HYT ENGINEERING COMPANY PVT LTD.
,Item Code,Quantity,Amount
,HDTM - 16,1,
,Project Total,1,0
720,2024-06-12,13295,,HYT ENGINEERING COMPANY PVT LTD.
,Item Code,Quantity,Amount
,VTL - 102,1,
,Project Total,1,0
719,2024-06-12,13296,,HYT ENGINEERING COMPANY PVT LTD.
,Item Code,Quantity,Amount
